,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
45402,35,1,7,3.18,123,0,0,0,1,0,0,1,0
45403,250,2,4,1.9,179,0,1,0,0,0,1,0,0
45404,270,2,3,1.5,350,0,0,1,0,0,1,0,0
45405,150,2,1,0.77,6,1,0,0,0,0,1,0,0
45406,147,30,0,0.0,324,0,0,1,0,0,1,0,0
45407,307,3,1,0.42,363,0,0,1,0,0,0,1,0
45408,600,2,1,0.63,0,0,0,1,0,0,1,0,0
45409,134,6,1,0.86,33,0,0,1,0,0,1,0,0
45410,99,2,1,0.79,58,0,1,0,0,0,1,0,0
45411,250,7,1,0.94,333,0,0,1,0,0,1,0,0
45412,200,10,0,0.0,89,0,0,1,0,0,1,0,0
45413,2000,1,1,0.94,0,0,0,1,0,0,1,0,0
45414,55,1,2,0.94,88,0,0,0,1,0,0,1,0
45415,215,4,0,0.0,0,0,0,1,0,0,0,1,0
45416,200,2,0,0.0,0,0,0,1,0,0,1,0,0
45417,129,1,8,3.53,316,0,0,1,0,0,0,1,0
45418,99,1,1,0.6,29,0,1,0,0,0,0,1,0
45419,199,3,5,2.0,236,0,1,0,0,0,1,0,0
45420,82,1,1,0.83,90,0,0,0,1,0,0,1,0
45421,125,3,2,1.22,170,0,0,0,1,0,1,0,0
45422,65,31,1,1.0,341,0,0,0,1,0,0,1,0
45423,60,2,6,2.77,41,0,0,1,0,0,0,1,0
45424,150,1,3,1.38,89,0,0,0,1,0,0,1,0
45425,151,1,1,0.45,179,0,1,0,0,0,1,0,0
45426,99,1,0,0.0,29,0,1,0,0,0,0,1,0
45427,125,14,1,0.94,364,0,1,0,0,0,1,0,0
45428,45,31,0,0.0,365,0,0,0,1,0,0,1,0
45429,19,1,6,3.0,2,0,0,1,0,0,0,0,1
45430,98,1,10,3.9,249,0,1,0,0,0,1,0,0
45431,500,12,0,0.0,76,0,0,1,0,0,1,0,0
45432,800,180,0,0.0,358,0,0,1,0,0,1,0,0
45433,70,2,2,0.94,0,0,1,0,0,0,0,1,0
45434,200,4,1,0.79,0,0,1,0,0,0,1,0,0
45435,500,5,2,1.5,51,0,0,1,0,0,1,0,0
45436,50,2,9,3.91,38,0,1,0,0,0,0,1,0
45437,200,2,2,1.05,270,0,1,0,0,0,1,0,0
45438,73,30,0,0.0,306,0,1,0,0,0,1,0,0
45439,160,3,7,3.33,35,0,1,0,0,0,1,0,0
45440,50,1,7,3.04,0,0,1,0,0,0,0,1,0
45441,48,1,1,0.39,152,0,0,1,0,0,0,1,0
45442,170,2,2,1.5,44,0,0,1,0,0,1,0,0
45443,120,1,2,0.8,259,0,0,1,0,0,1,0,0
45444,75,4,1,0.91,76,0,0,0,1,0,1,0,0
45445,70,5,2,0.82,0,0,0,1,0,0,0,1,0
45446,150,3,0,0.0,16,0,0,0,1,0,0,1,0
45447,400,3,2,1.76,0,0,0,1,0,0,1,0,0
45448,199,2,4,2.61,83,0,0,1,0,0,0,1,0
45449,72,1,2,1.05,90,0,0,0,1,0,0,1,0
45450,65,2,0,0.0,9,0,0,1,0,0,1,0,0
45451,125,7,3,1.55,22,0,0,1,0,0,1,0,0
45452,80,1,3,1.3,0,0,0,1,0,0,0,1,0
45453,114,1,1,0.91,1,0,0,1,0,0,0,1,0
45454,69,2,17,7.73,19,0,1,0,0,0,1,0,0
45455,175,30,0,0.0,107,0,0,0,1,0,1,0,0
45456,70,2,2,1.02,365,0,1,0,0,0,0,1,0
45457,250,6,0,0.0,76,0,0,1,0,0,1,0,0
45458,209,7,1,1.0,269,0,0,1,0,0,0,1,0
45459,114,1,3,1.27,10,0,0,1,0,0,1,0,0
45460,115,2,4,2.73,3,0,1,0,0,0,1,0,0
45461,130,30,0,0.0,296,0,0,1,0,0,1,0,0
45462,50,1,0,0.0,365,0,1,0,0,0,0,0,1
45463,75,1,7,3.0,31,1,0,0,0,0,0,1,0
45464,160,2,6,2.54,245,0,1,0,0,0,1,0,0
45465,222,2,0,0.0,0,0,0,1,0,0,0,1,0
45466,158,1,4,1.64,179,0,0,0,1,0,1,0,0
45467,80,1,8,3.75,266,0,1,0,0,0,0,1,0
45468,206,30,1,0.5,161,0,0,1,0,0,1,0,0
45469,120,2,4,1.71,0,0,0,1,0,0,1,0,0
45470,306,1,0,0.0,365,0,1,0,0,0,1,0,0
45471,43,1,0,0.0,69,0,1,0,0,0,0,0,1
45472,175,2,6,2.65,118,0,1,0,0,0,1,0,0
45473,165,3,1,0.44,0,0,0,0,1,0,1,0,0
45474,120,2,0,0.0,26,0,0,1,0,0,0,1,0
45475,35,4,7,2.88,56,0,0,1,0,0,0,1,0
45476,350,2,7,3.04,29,0,0,1,0,0,1,0,0
45477,375,4,1,0.91,7,0,0,1,0,0,1,0,0
45478,75,1,6,2.86,14,0,0,1,0,0,0,1,0
45479,259,1,8,3.81,39,0,0,1,0,0,1,0,0
45480,99,2,1,0.71,97,0,1,0,0,0,0,1,0
45481,210,4,1,0.94,0,0,1,0,0,0,1,0,0
45482,55,2,6,5.14,354,0,1,0,0,0,0,1,0
45483,60,2,6,3.6,362,0,1,0,0,0,0,1,0
45484,580,5,2,0.94,14,0,1,0,0,0,1,0,0
45485,50,2,3,1.61,354,0,1,0,0,0,0,1,0
45486,125,2,1,0.61,3,0,0,1,0,0,1,0,0
45487,310,5,0,0.0,179,0,0,1,0,0,1,0,0
45488,85,1,3,1.43,55,0,1,0,0,0,0,1,0
45489,119,29,0,0.0,154,0,0,0,1,0,0,1,0
45490,111,30,0,0.0,365,0,0,1,0,0,1,0,0
45491,200,30,0,0.0,359,0,0,1,0,0,0,1,0
45492,111,30,0,0.0,365,0,0,1,0,0,1,0,0
