,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
23190,16441496,45,5,2,0.38,177,0,1,0,1,0,0
23200,16444320,87,3,1,0.04,0,0,1,0,0,0,1
23201,16444558,50,3,0,0.0,0,0,1,0,0,0,1
23204,16449480,100,2,57,2.38,18,1,0,0,1,0,0
23213,16454164,105,2,1,0.04,0,1,0,0,0,1,0
23218,16456101,200,3,25,0.98,172,1,0,0,0,0,1
23234,16468001,200,1,2,0.08,0,0,1,0,0,0,1
23254,16479344,120,3,4,1.94,42,1,0,0,1,0,0
23259,16481602,110,10,0,0.0,0,1,0,0,0,1,0
23267,16487559,63,1,2,0.08,89,0,1,0,1,0,0
23269,16487967,38,3,1,0.04,0,0,1,0,0,0,1
23282,16496715,50,3,0,0.0,0,0,1,0,0,1,0
23289,16499824,225,4,10,0.53,0,1,0,0,0,0,1
23302,16507990,165,1,1,0.04,0,0,1,0,0,0,1
23313,16515834,216,28,10,0.48,356,1,0,0,0,1,0
23314,16517301,170,2,28,1.23,30,0,1,0,0,0,1
23331,16530772,80,2,83,3.5,179,0,1,0,1,0,0
23334,16533105,87,1,234,9.21,79,0,1,0,1,0,0
23345,16541635,100,4,2,0.11,0,1,0,0,0,0,1
23349,16543538,40,3,2,0.08,0,0,1,0,1,0,0
23353,16544910,30,30,0,0.0,6,0,1,0,1,0,0
23359,16546903,75,1,73,2.87,233,0,1,0,1,0,0
23371,16556404,30,4,1,0.1,8,0,1,0,1,0,0
23372,16557384,25,2,82,3.23,185,0,1,0,1,0,0
23375,16559061,85,1,3,0.12,0,0,1,0,1,0,0
23400,16578515,50,5,5,0.22,0,0,1,0,1,0,0
23402,16578826,55,2,28,1.22,88,0,0,1,1,0,0
23403,16578883,35,10,5,0.23,58,0,1,0,1,0,0
23404,16579004,130,5,0,0.0,76,1,0,0,1,0,0
23410,16585605,50,1,85,3.65,47,0,1,0,1,0,0
23423,16601518,60,1,75,3.28,67,0,1,0,1,0,0
23427,16603730,225,3,0,0.0,0,1,0,0,1,0,0
23428,16603823,120,5,9,0.96,152,0,1,0,0,0,1
23433,16607054,66,3,0,0.0,0,0,1,0,1,0,0
23436,16612885,220,1,17,0.76,263,1,0,0,0,0,1
23452,16617969,77,47,5,0.22,94,1,0,0,1,0,0
23461,16627548,80,1,131,5.23,0,0,1,0,1,0,0
23472,16634459,141,1,33,1.63,355,0,0,1,1,0,0
23488,16649773,120,2,24,1.02,179,0,1,0,1,0,0
23508,16667077,95,1,139,5.71,133,0,1,0,0,0,1
23509,16667109,95,1,133,5.4,125,0,1,0,0,0,1
23510,16667175,95,1,157,6.35,118,0,1,0,0,0,1
23522,16677256,185,3,45,1.99,248,1,0,0,1,0,0
23530,16685410,80,60,15,0.83,89,1,0,0,1,0,0
23547,16694463,150,2,2,0.11,365,0,1,0,1,0,0
23550,16701087,75,2,80,3.27,350,0,1,0,1,0,0
23562,16710935,499,2,10,0.46,178,1,0,0,0,0,1
23569,16720039,95,2,4,0.28,0,1,0,0,1,0,0
23574,16722202,60,1,24,0.98,0,0,1,0,0,1,0
23576,16722762,100,1,122,4.89,227,1,0,0,1,0,0
23579,16725326,140,30,2,0.09,1,1,0,0,0,0,1
23590,16735801,100,1,183,7.64,85,0,1,0,1,0,0
23596,16739891,158,1,110,4.4,214,0,1,0,1,0,0
23614,16757281,75,2,25,1.13,22,1,0,0,1,0,0
23619,16766700,39,4,64,2.61,15,0,1,0,1,0,0
23625,16768665,175,1,0,0.0,0,0,1,0,1,0,0
23653,16794244,47,2,57,2.3,179,0,0,1,1,0,0
23663,16804336,130,2,56,2.31,0,1,0,0,0,1,0
23677,16810657,5700,2,0,0.0,358,1,0,0,1,0,0
23686,16812429,235,1,12,0.65,353,0,1,0,1,0,0
23692,16814385,173,3,4,0.18,87,0,1,0,1,0,0
23702,16823923,250,7,0,0.0,0,1,0,0,0,0,1
23715,16837941,380,2,9,0.4,137,1,0,0,0,0,1
23720,16844707,60,3,9,1.02,89,0,1,0,1,0,0
23724,16846366,995,4,17,0.77,309,1,0,0,0,0,1
23741,16859209,135,1,0,0.0,89,1,0,0,0,0,1
23746,16867024,360,5,22,1.0,179,1,0,0,1,0,0
23748,16869999,55,1,39,1.68,365,0,1,0,1,0,0
23755,16883813,224,4,19,0.79,39,1,0,0,1,0,0
23757,16884027,120,1,9,0.38,0,1,0,0,1,0,0
23766,16897115,53,1,39,1.7,0,0,1,0,0,0,1
23780,16916510,60,30,7,0.33,124,0,1,0,0,1,0
23799,16937801,85,5,8,0.36,44,0,1,0,1,0,0
23811,16954330,59,2,66,2.72,34,0,1,0,1,0,0
23813,16960374,110,6,5,0.21,0,1,0,0,1,0,0
23816,16960859,69,2,70,2.89,0,0,1,0,1,0,0
23825,16965291,49,1,4,0.18,365,0,1,0,0,0,1
23833,16972627,243,1,35,1.44,0,1,0,0,0,0,1
23842,16978709,40,5,1,1.0,81,0,1,0,1,0,0
23852,16992781,250,5,3,0.13,0,1,0,0,0,0,1
23854,16994272,400,4,6,1.08,38,1,0,0,1,0,0
23870,17008022,100,5,32,1.49,0,0,1,0,0,1,0
23880,17014809,118,1,69,3.63,183,0,1,0,1,0,0
23886,17025831,200,5,0,0.0,0,1,0,0,0,0,1
23906,17070038,40,2,14,0.68,81,0,1,0,1,0,0
23915,17076571,165,1,120,5.14,267,1,0,0,0,0,1
23935,17097495,75,3,43,1.79,56,0,1,0,1,0,0
23938,17104416,39,5,0,0.0,81,0,1,0,1,0,0
23952,17112036,72,2,49,2.25,315,0,1,0,1,0,0
23953,17116411,489,3,65,3.0,167,1,0,0,0,0,1
23956,17117631,120,2,27,1.17,319,0,1,0,1,0,0
23961,17121563,85,1,0,0.0,0,0,1,0,1,0,0
23971,17124014,110,4,96,4.03,154,0,1,0,0,1,0
23972,17125159,125,1,51,2.15,50,1,0,0,1,0,0
23973,17129825,35,1,0,0.0,0,0,0,1,0,1,0
23978,17134357,100,5,11,0.48,0,0,1,0,0,0,1
23981,17137626,52,2,55,2.38,89,0,1,0,1,0,0
23983,17138302,120,1,2,0.08,0,1,0,0,0,0,1
23989,17141182,100,1,19,0.8,0,1,0,0,0,1,0
24048,17210761,59,2,103,4.33,114,1,0,0,1,0,0
24070,17224797,160,4,18,0.75,12,1,0,0,0,0,1
24079,17235571,49,14,3,0.13,0,0,1,0,1,0,0
24089,17239330,200,150,0,0.0,32,1,0,0,1,0,0
24103,17254708,49,1,11,0.5,0,0,1,0,1,0,0
24105,17255171,200,5,2,0.08,0,1,0,0,0,1,0
24112,17257473,355,5,14,0.61,89,1,0,0,1,0,0
24116,17263550,58,2,59,2.48,256,0,1,0,1,0,0
24166,17304795,100,2,16,0.69,0,0,1,0,0,0,1
24171,17308567,85,2,47,2.03,74,0,1,0,1,0,0
24182,17318814,175,2,115,4.83,151,1,0,0,1,0,0
24194,17333015,75,30,1,0.11,104,0,1,0,1,0,0
24214,17366042,140,5,0,0.0,0,1,0,0,0,1,0
24215,17366110,150,1,86,3.69,89,1,0,0,1,0,0
24221,17366942,70,4,35,1.52,0,0,1,0,1,0,0
24225,17367228,225,30,5,0.26,279,1,0,0,0,0,1
24246,17383253,135,30,3,0.16,254,1,0,0,0,0,1
24249,17383893,44,20,1,0.04,0,0,1,0,1,0,0
24257,17389187,80,1,62,2.82,265,0,1,0,1,0,0
24267,17405812,110,7,3,0.13,0,1,0,0,0,0,1
24276,17419342,225,2,14,0.66,363,0,1,0,1,0,0
24291,17433572,500,1,13,0.82,348,0,1,0,1,0,0
24292,17434184,165,1,31,1.49,323,0,1,0,1,0,0
24294,17434335,65,2,12,0.51,0,0,1,0,1,0,0
24299,17437106,10,1,0,0.0,0,0,0,1,1,0,0
24301,17442248,80,1,0,0.0,0,0,1,0,0,0,1
24302,17444704,600,2,44,2.15,267,1,0,0,1,0,0
24304,17447150,184,30,3,0.15,351,1,0,0,0,0,1
24311,17455952,65,5,2,0.09,0,0,1,0,1,0,0
24313,17456932,300,5,4,0.19,359,1,0,0,0,0,1
24319,17459791,175,4,3,0.13,0,0,1,0,0,0,1
24321,17460510,198,28,7,0.34,179,1,0,0,1,0,0
24322,17461281,69,2,59,2.67,79,1,0,0,1,0,0
24325,17463059,135,2,114,4.88,66,1,0,0,1,0,0
24329,17464151,200,30,3,0.16,215,1,0,0,0,0,1
24340,17477221,198,30,3,0.14,337,1,0,0,0,0,1
24348,17479736,50,1,17,1.69,0,0,1,0,1,0,0
24351,17480275,70,28,0,0.0,0,0,1,0,0,1,0
24355,17482053,250,30,4,0.3,365,1,0,0,0,0,1
24356,17482374,190,30,3,0.21,307,1,0,0,0,0,1
24360,17493355,200,30,2,0.15,0,1,0,0,0,0,1
24367,17496222,134,1,90,3.89,281,0,1,0,1,0,0
24370,17497776,61,3,54,2.34,21,1,0,0,1,0,0
24376,17505594,85,2,2,0.1,0,1,0,0,1,0,0
24454,17520883,125,1,0,0.0,0,0,1,0,1,0,0
24455,17522320,50,18,5,0.27,89,0,1,0,0,1,0
24460,17524862,150,2,10,0.45,126,1,0,0,1,0,0
24466,17528071,30,21,15,0.66,165,0,0,1,1,0,0
24472,17531493,75,1,19,0.92,0,0,1,0,0,0,1
24513,17554981,130,30,2,0.1,262,1,0,0,0,0,1
24518,17557517,195,3,15,0.68,0,1,0,0,0,0,1
24524,17560543,51,1,0,0.0,0,0,1,0,1,0,0
24528,17569080,155,30,1,0.17,246,1,0,0,1,0,0
24536,17573385,36,5,7,0.3,18,0,1,0,1,0,0
24553,17590729,99,3,9,0.55,0,0,1,0,1,0,0
24557,17593421,39,4,17,0.74,11,0,1,0,1,0,0
24567,17604613,25,1,9,0.39,0,0,0,1,1,0,0
24589,17620867,60,2,29,1.31,138,0,1,0,1,0,0
24595,17625698,36,30,5,0.64,32,0,1,0,1,0,0
24634,17666011,125,1,4,0.17,0,0,1,0,0,0,1
24640,17667639,197,3,30,1.36,48,1,0,0,0,0,1
24646,17677162,220,3,6,0.29,32,1,0,0,0,0,1
24649,17679645,55,2,0,0.0,0,0,1,0,1,0,0
24650,17679822,150,4,17,0.83,240,1,0,0,1,0,0
24660,17682955,79,2,67,2.96,29,0,1,0,1,0,0
24665,17684098,139,1,77,3.44,0,1,0,0,0,1,0
24674,17691162,130,2,1,0.06,1,1,0,0,1,0,0
24677,17692837,86,2,3,0.14,365,0,1,0,1,0,0
24692,17702001,150,2,23,1.26,5,1,0,0,0,0,1
24696,17702559,150,5,3,0.13,0,1,0,0,1,0,0
24719,17728927,199,2,67,3.0,89,1,0,0,0,0,1
24731,17734736,80,90,5,0.23,90,0,1,0,0,0,1
24735,17735760,249,3,15,0.81,129,1,0,0,0,0,1
24743,17743697,89,3,49,2.16,1,0,1,0,1,0,0
24747,17746222,65,2,18,0.79,0,0,1,0,1,0,0
24765,17759520,600,6,2,0.11,30,1,0,0,1,0,0
24777,17764691,97,3,4,0.18,0,1,0,0,0,0,1
24790,17774989,30,1,7,0.31,0,0,1,0,1,0,0
24791,17776095,65,2,6,0.27,179,0,1,0,1,0,0
24800,17779879,89,5,55,2.5,0,0,1,0,0,0,1
24818,17794915,25,1,0,0.0,0,0,1,0,1,0,0
24859,17835503,70,4,9,0.6,0,1,0,0,1,0,0
24868,17843168,235,3,10,0.48,27,0,1,0,0,0,1
24869,17843852,125,1,35,1.6,363,0,1,0,0,0,1
24876,17848298,140,2,2,0.21,0,1,0,0,0,1,0
24877,17848627,95,2,20,3.24,71,0,1,0,1,0,0
24882,17856672,149,3,66,2.98,296,1,0,0,1,0,0
24898,17866302,75,1,0,0.0,365,0,1,0,1,0,0
24926,17893797,38,3,1,0.16,0,0,1,0,1,0,0
24927,17894985,54,1,0,0.0,89,0,1,0,1,0,0
24933,17900681,100,2,5,0.23,0,0,1,0,0,0,1
24944,17907935,95,2,0,0.0,0,1,0,0,0,1,0
24947,17915565,95,1,26,1.31,0,0,1,0,0,0,1
24949,17922181,110,30,7,0.38,111,1,0,0,0,0,1
24988,17956441,210,30,0,0.0,365,1,0,0,0,0,1
24989,17957197,150,7,0,0.0,0,1,0,0,0,0,1
24995,17962354,75,1,3,0.16,20,0,1,0,1,0,0
25000,17972466,90,3,4,0.2,0,0,1,0,0,0,1
25006,17979132,45,1,0,0.0,0,0,1,0,0,0,1
25028,18003918,200,4,2,0.1,0,1,0,0,0,0,1
25031,18005542,45,1,65,3.0,22,0,1,0,0,1,0
25040,18010406,130,2,21,0.96,15,1,0,0,1,0,0
25044,18015606,200,28,7,0.34,343,1,0,0,0,0,1
25058,18024561,249,3,64,3.03,293,1,0,0,0,0,1
25092,18052725,499,5,56,2.54,283,1,0,0,0,0,1
25095,18055685,150,5,11,0.56,12,1,0,0,1,0,0
25097,18057747,60,5,1,0.06,0,0,1,0,1,0,0
25099,18059231,67,1,0,0.0,0,0,1,0,0,0,1
25101,18059656,67,2,23,1.06,164,0,1,0,1,0,0
25116,18072133,84,3,0,0.0,0,0,1,0,1,0,0
25131,18077050,90,2,12,0.55,0,1,0,0,0,0,1
25133,18077717,175,5,2,0.11,0,1,0,0,0,0,1
25148,18091600,250,2,11,0.54,297,1,0,0,1,0,0
25181,18120248,100,3,3,0.14,0,1,0,0,0,0,1
25186,18123185,80,6,3,0.14,0,0,1,0,0,0,1
25191,18134537,250,1,3,0.14,0,1,0,0,0,0,1
25195,18138307,120,2,14,0.65,0,0,1,0,1,0,0
25197,18139095,199,3,45,2.32,1,1,0,0,1,0,0
25221,18160364,136,29,1,0.08,0,1,0,0,0,0,1
25227,18168964,50,2,20,0.93,365,0,0,1,1,0,0
25228,18169166,119,30,1,0.05,180,1,0,0,0,0,1
25229,18170615,99,4,3,0.14,0,0,1,0,0,1,0
25231,18173198,25,2,52,2.42,31,0,0,1,1,0,0
25234,18174567,125,5,0,0.0,0,1,0,0,1,0,0
25251,18188738,49,2,51,2.38,190,0,0,1,1,0,0
25263,18194429,50,5,12,0.55,0,1,0,0,0,0,1
25274,18198439,165,7,26,1.3,309,1,0,0,1,0,0
25284,18208738,200,2,55,3.01,69,1,0,0,1,0,0
25285,18208811,110,1,101,5.06,66,0,1,0,1,0,0
25287,18209795,40,1,14,0.64,0,0,1,0,0,0,1
25295,18213280,330,3,3,0.14,0,1,0,0,0,0,1
25301,18221864,148,1,106,4.92,254,1,0,0,0,0,1
25303,18222186,94,3,2,0.1,0,0,1,0,1,0,0
25305,18222455,120,2,62,2.88,24,1,0,0,0,0,1
25316,18227529,140,2,71,3.44,26,1,0,0,1,0,0
25335,18241920,85,7,2,0.1,0,1,0,0,1,0,0
25339,18249844,85,1,25,1.15,0,1,0,0,1,0,0
25340,18250284,140,2,45,2.12,174,0,1,0,1,0,0
25342,18252313,30,5,3,0.15,0,0,1,0,1,0,0
25343,18252876,116,3,15,0.71,0,1,0,0,0,1,0
25351,18254317,150,1,0,0.0,0,0,1,0,0,0,1
25360,18264659,39,30,3,0.18,337,0,1,0,1,0,0
25391,18283646,80,2,16,0.77,15,0,1,0,1,0,0
25404,18290561,149,3,55,2.57,236,1,0,0,1,0,0
25405,18290841,145,1,0,0.0,0,1,0,0,0,1,0
25415,18303895,125,2,84,3.91,260,1,0,0,1,0,0
25423,18309354,125,1,4,0.18,0,0,1,0,0,1,0
25425,18309885,100,2,35,1.67,141,0,1,0,1,0,0
25426,18310427,39,30,5,0.31,364,0,1,0,1,0,0
25436,18314459,193,2,3,0.16,82,0,1,0,0,0,1
25441,18322008,74,2,0,0.0,0,0,1,0,0,0,1
25452,18330871,69,2,7,0.33,0,0,1,0,0,0,1
25462,18341576,110,30,2,0.1,270,1,0,0,1,0,0
25463,18342361,240,2,61,2.84,218,0,1,0,0,0,1
25468,18347469,55,1,4,0.19,0,0,1,0,1,0,0
25477,18356695,118,30,5,0.27,38,1,0,0,0,1,0
25479,18357865,150,30,1,0.05,277,1,0,0,0,0,1
25497,18367776,232,5,53,2.59,17,1,0,0,1,0,0
25502,18372104,220,30,4,0.2,172,1,0,0,0,0,1
25527,18388706,149,3,0,0.0,0,1,0,0,0,0,1
25537,18393650,60,14,0,0.0,0,0,1,0,0,0,1
25542,18396281,75,14,7,0.37,365,0,1,0,1,0,0
25550,18404936,37,30,4,0.23,276,0,1,0,1,0,0
25558,18411056,295,3,26,5.1,231,1,0,0,1,0,0
25560,18411925,70,1,1,0.05,0,0,1,0,0,0,1
25564,18415505,99,5,33,1.54,9,1,0,0,1,0,0
25568,18423938,159,30,0,0.0,365,1,0,0,0,0,1
25579,18430588,35,30,5,0.25,179,0,1,0,1,0,0
25594,18443992,120,1,68,3.2,195,1,0,0,1,0,0
25595,18444131,135,1,47,2.19,145,1,0,0,1,0,0
25600,18448376,57,2,0,0.0,0,0,1,0,1,0,0
25626,18462291,80,2,31,1.46,10,1,0,0,1,0,0
25637,18471815,43,2,0,0.0,0,0,1,0,0,1,0
25646,18476474,89,2,109,5.11,205,0,1,0,1,0,0
25653,18482568,50,7,0,0.0,0,0,1,0,1,0,0
25655,18484208,125,3,0,0.0,0,1,0,0,0,1,0
25657,18484597,50,5,1,0.05,0,0,1,0,0,1,0
25663,18488335,85,4,24,1.17,58,1,0,0,1,0,0
25683,18501885,95,3,43,2.27,14,0,1,0,0,0,1
25685,18503701,78,3,73,3.48,58,0,1,0,1,0,0
25691,18505453,99,1,7,0.33,0,1,0,0,0,0,1
25693,18506292,615,5,38,1.85,285,1,0,0,0,0,1
25695,18506841,275,2,69,3.31,271,1,0,0,1,0,0
25696,18507671,75,30,0,0.0,0,0,0,1,0,0,1
25706,18516072,139,31,0,0.0,83,0,1,0,0,0,1
25710,18518678,175,5,2,0.1,0,0,1,0,0,1,0
25722,18527037,500,3,2,0.11,176,1,0,0,0,0,1
25741,18549136,198,2,2,0.1,0,1,0,0,0,0,1
25750,18560569,199,3,16,0.77,286,1,0,0,1,0,0
25752,18561200,70,3,65,3.09,0,0,1,0,1,0,0
25755,18561618,100,3,53,2.53,38,0,0,1,0,0,1
25782,18572271,150,6,5,0.28,0,0,1,0,0,0,1
25794,18584089,100,1,4,0.19,365,0,1,0,1,0,0
25807,18587138,50,1,24,1.25,91,0,1,0,1,0,0
25823,18598072,135,5,14,0.76,26,1,0,0,0,0,1
25830,18602201,85,14,3,0.15,179,0,1,0,1,0,0
25836,18609316,70,5,24,1.15,173,0,1,0,1,0,0
25841,18610831,150,30,2,0.14,349,1,0,0,1,0,0
25842,18611347,55,90,0,0.0,365,0,1,0,1,0,0
25846,18612291,65,4,0,0.0,0,0,1,0,0,1,0
25850,18612972,192,1,10,0.48,24,1,0,0,1,0,0
25864,18616208,2900,1,0,0.0,179,1,0,0,0,0,1
25874,18626606,200,4,10,0.56,33,1,0,0,0,0,1
25891,18636030,50,1,0,0.0,0,0,1,0,0,1,0
25898,18646075,39,30,4,0.22,364,0,1,0,1,0,0
25901,18647217,55,3,85,4.05,98,0,1,0,0,1,0
25903,18648243,70,14,37,1.78,51,0,1,0,1,0,0
25912,18650087,200,1,62,2.98,89,1,0,0,1,0,0
25920,18655815,70,2,1,0.06,82,0,1,0,0,0,1
25927,18662664,75,2,21,1.01,0,0,1,0,1,0,0
25936,18668037,52,7,0,0.0,0,0,1,0,1,0,0
25944,18672625,115,2,4,0.19,0,1,0,0,1,0,0
25945,18672760,100,2,0,0.0,0,1,0,0,1,0,0
25949,18675061,70,7,5,0.24,0,0,1,0,0,0,1
25955,18680331,145,7,2,0.1,0,1,0,0,0,1,0
25956,18682184,180,30,3,0.18,194,1,0,0,1,0,0
25964,18686501,55,2,0,0.0,0,0,0,1,0,0,1
25969,18688150,60,2,36,2.07,51,0,1,0,1,0,0
25975,18690651,50,7,0,0.0,0,0,1,0,1,0,0
26014,18719477,55,7,0,0.0,0,0,1,0,1,0,0
26032,18731029,40,30,5,0.36,220,0,1,0,0,0,1
26033,18731641,95,2,36,1.77,57,1,0,0,1,0,0
26053,18745314,130,1,2,0.1,0,1,0,0,1,0,0
26054,18745487,500,1,0,0.0,173,0,1,0,0,0,1
26069,18752307,195,1,45,2.16,89,1,0,0,1,0,0
26072,18753411,75,1,5,0.25,0,0,1,0,0,0,1
26076,18756112,260,3,1,0.06,0,1,0,0,0,0,1
26083,18763188,295,7,1,0.18,263,1,0,0,0,0,1
26092,18768978,70,3,16,0.9,0,0,1,0,0,1,0
26117,18788980,76,2,5,0.24,89,0,1,0,1,0,0
26125,18792285,69,3,0,0.0,0,0,1,0,0,1,0
26141,18802366,73,2,24,1.17,0,0,1,0,1,0,0
26143,18803219,50,1,0,0.0,0,0,1,0,0,0,1
26191,18841599,60,4,21,1.06,365,0,1,0,1,0,0
26195,18844533,80,1,42,2.16,0,0,1,0,0,0,1
26197,18848869,51,2,20,1.06,59,0,1,0,1,0,0
26201,18851906,270,2,8,0.6,0,1,0,0,0,0,1
26204,18852245,55,4,6,0.32,111,0,1,0,1,0,0
26215,18857875,100,1,14,0.69,0,0,1,0,0,0,1
26230,18872076,50,1,2,0.1,0,0,1,0,1,0,0
26242,18875994,170,3,0,0.0,0,1,0,0,0,0,1
26255,18889094,2800,2,0,0.0,129,0,1,0,1,0,0
26266,18894295,199,1,69,3.34,114,1,0,0,1,0,0
26285,18907303,59,4,17,0.85,0,0,1,0,1,0,0
26294,18910029,112,3,1,0.05,0,1,0,0,1,0,0
26296,18910690,50,1,2,0.11,89,0,1,0,1,0,0
26315,18922939,100,4,2,0.1,0,1,0,0,1,0,0
26324,18931595,55,2,8,0.39,0,0,1,0,1,0,0
26333,18935508,65,2,1,0.06,179,1,0,0,1,0,0
26351,18949137,120,10,9,0.44,58,1,0,0,0,1,0
26358,18957774,200,5,0,0.0,0,1,0,0,0,0,1
26362,18959331,125,3,32,1.58,64,0,1,0,1,0,0
26385,18978234,65,1,3,0.15,365,0,1,0,1,0,0
26430,19011068,99,2,48,2.45,364,0,1,0,1,0,0
26450,19015721,125,6,3,0.15,0,0,1,0,1,0,0
26453,19017429,80,1,18,0.96,179,0,1,0,1,0,0
26461,19018987,389,6,0,0.0,50,1,0,0,0,0,1
26463,19019275,85,30,0,0.0,71,1,0,0,0,0,1
26484,19036742,90,6,1,0.08,27,0,1,0,0,1,0
26496,19049579,165,2,8,0.42,0,1,0,0,0,0,1
26512,19054653,150,2,29,1.5,24,1,0,0,0,0,1
26521,19056511,80,1,0,0.0,0,0,1,0,1,0,0
26541,19068469,36,25,0,0.0,0,0,1,0,1,0,0
26543,19068933,113,30,0,0.0,93,1,0,0,0,0,1
26546,19069372,115,29,5,0.28,324,1,0,0,0,0,1
26547,19069381,100,2,1,0.05,0,0,1,0,1,0,0
26597,19094459,175,14,6,0.38,67,1,0,0,0,0,1
26639,19118405,150,14,1,0.06,0,1,0,0,1,0,0
26662,19134330,200,1,1,0.05,0,1,0,0,0,0,1
26670,19136705,100,2,8,0.4,0,0,1,0,1,0,0
26671,19136921,90,15,8,0.4,0,1,0,0,1,0,0
26673,19138138,75,5,12,0.61,32,0,1,0,1,0,0
26675,19139234,101,7,6,0.37,0,1,0,0,1,0,0
26677,19140493,195,1,13,0.65,0,1,0,0,0,0,1
26687,19142325,70,2,0,0.0,0,0,0,1,0,0,1
26709,19161785,40,10,0,0.0,0,0,1,0,1,0,0
26710,19161964,60,1,1,0.07,0,0,1,0,0,1,0
26719,19163361,60,2,26,1.53,8,0,1,0,1,0,0
26721,19163801,37,2,0,0.0,0,0,1,0,1,0,0
26727,19170051,90,1,3,0.16,0,1,0,0,1,0,0
26734,19174466,150,1,1,0.05,0,0,1,0,0,0,1
26746,19176790,65,3,1,0.05,0,0,1,0,1,0,0
26748,19177269,150,3,31,1.59,0,1,0,0,1,0,0
26760,19180868,52,4,27,1.47,44,0,1,0,1,0,0
26764,19181881,315,2,1,0.07,0,1,0,0,0,0,1
26776,19192149,68,1,89,4.73,0,0,1,0,1,0,0
26777,19193139,85,3,8,0.43,0,1,0,0,1,0,0
26780,19194301,110,3,22,1.2,79,0,1,0,1,0,0
26795,19206035,70,2,12,0.61,0,0,1,0,0,0,1
26800,19209436,102,3,24,1.21,0,1,0,0,1,0,0
26804,19209764,100,3,0,0.0,362,0,1,0,1,0,0
26807,19211407,65,2,55,2.81,365,0,1,0,1,0,0
26811,19212370,148,4,46,2.35,341,1,0,0,0,0,1
26814,19212985,72,3,28,1.47,0,1,0,0,1,0,0
26822,19222766,122,3,12,0.65,0,1,0,0,1,0,0
26823,19224202,190,4,4,0.21,0,1,0,0,0,0,1
26842,19228313,46,1,0,0.0,0,0,1,0,1,0,0
26850,19237286,400,4,18,1.1,142,1,0,0,1,0,0
26875,19246662,150,1,69,3.48,223,1,0,0,0,1,0
26881,19248044,183,30,0,0.0,365,1,0,0,0,0,1
26885,19249136,84,2,3,0.15,0,1,0,0,1,0,0
26887,19250443,209,1,22,1.18,43,1,0,0,0,0,1
26889,19250742,160,3,73,3.8,276,1,0,0,1,0,0
26900,19265835,135,3,55,3.67,32,1,0,0,1,0,0
26903,19267293,175,3,78,4.01,38,1,0,0,1,0,0
26911,19271120,175,3,26,1.42,10,1,0,0,1,0,0
26913,19272890,230,5,0,0.0,0,1,0,0,0,0,1
26923,19275018,79,2,11,0.57,0,0,1,0,0,1,0
26927,19281846,180,3,34,1.84,54,1,0,0,1,0,0
26944,19290778,200,30,5,0.37,365,1,0,0,0,0,1
26947,19292987,200,30,1,0.06,338,1,0,0,0,0,1
26958,19297780,57,3,0,0.0,54,0,1,0,1,0,0
26968,19306176,60,4,2,0.17,0,0,1,0,0,1,0
26985,19312686,75,5,1,0.05,0,1,0,0,1,0,0
26989,19313551,141,2,62,3.2,82,1,0,0,1,0,0
26997,19315654,150,4,69,3.51,328,1,0,0,1,0,0
27010,19324099,150,2,1,0.07,0,1,0,0,1,0,0
27017,19327508,79,2,9,1.76,365,0,1,0,1,0,0
27023,19330704,80,1,34,1.72,0,0,1,0,0,1,0
27032,19334916,200,3,2,0.26,36,0,1,0,1,0,0
27034,19338739,66,19,1,0.05,83,1,0,0,1,0,0
27052,19346150,50,7,9,0.46,271,0,1,0,0,1,0
27055,19346710,49,2,0,0.0,0,0,1,0,1,0,0
27072,19357186,69,14,3,0.15,0,0,1,0,1,0,0
27084,19363071,150,14,1,0.19,0,1,0,0,0,0,1
27086,19363356,55,1,2,0.1,0,0,1,0,1,0,0
27105,19378517,80,2,2,0.1,0,0,1,0,1,0,0
27110,19381437,45,5,0,0.0,0,0,1,0,0,0,1
27128,19387402,179,1,114,5.83,126,1,0,0,1,0,0
27138,19388707,110,2,20,2.84,1,0,1,0,0,0,1
27142,19389911,95,1,55,2.84,0,0,1,0,0,0,1
27153,19407599,35,1,4,0.21,0,0,1,0,0,0,1
27170,19413691,102,2,11,0.58,11,1,0,0,1,0,0
27181,19422062,63,2,18,1.03,78,0,0,1,0,0,1
27203,19436446,120,1,3,0.16,0,1,0,0,1,0,0
27215,19440924,105,1,24,1.23,0,1,0,0,0,0,1
27216,19441240,36,2,11,0.57,0,0,1,0,1,0,0
27235,19456350,250,10,5,0.27,0,1,0,0,0,0,1
27254,19470210,250,3,18,1.14,219,1,0,0,0,0,1
27265,19474652,85,1,29,1.57,365,0,1,0,1,0,0
27272,19477677,70,3,5,0.26,71,0,1,0,1,0,0
27275,19485371,65,1,6,0.31,0,0,1,0,1,0,0
27284,19489138,230,2,7,0.41,0,1,0,0,0,0,1
27285,19489293,119,1,4,0.21,0,1,0,0,1,0,0
27289,19495120,300,5,0,0.0,83,1,0,0,0,0,1
27290,19495570,135,3,17,0.98,165,0,1,0,0,0,1
27298,19501242,54,1,17,0.88,0,0,1,0,0,0,1
27299,19501640,38,3,0,0.0,0,0,1,0,1,0,0
27301,19503508,250,7,6,0.31,0,1,0,0,0,0,1
