,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side
1830,755751,250,6,1,0.19,216,1,0,0,1,0,0
1846,762145,600,3,9,0.13,365,1,0,0,0,0,1
1867,766973,69,3,20,0.27,365,0,1,0,1,0,0
1868,767397,190,3,25,0.34,364,1,0,0,1,0,0
1880,770893,100,29,2,0.09,285,1,0,0,0,0,1
1892,775280,280,4,86,1.19,264,1,0,0,1,0,0
1899,778495,120,3,2,0.03,8,0,1,0,0,0,1
1904,779838,260,2,4,0.4,361,1,0,0,0,0,1
1925,786685,225,1,41,0.64,244,1,0,0,1,0,0
1926,786727,100,7,11,0.2,0,1,0,0,1,0,0
1933,789476,95,2,25,0.53,0,0,1,0,1,0,0
1934,789559,295,10,11,0.15,0,1,0,0,0,0,1
1944,793951,78,1,52,0.7,0,0,1,0,1,0,0
1945,794156,190,28,48,0.64,66,1,0,0,0,0,1
1950,794472,350,6,13,0.18,0,1,0,0,0,0,1
1966,798429,115,3,173,2.31,247,1,0,0,1,0,0
1978,802498,85,1,165,3.58,34,0,1,0,1,0,0
1979,802677,173,4,16,0.22,0,1,0,0,0,0,1
1998,808476,85,1,1,0.02,363,0,1,0,1,0,0
2007,811238,165,7,8,0.11,93,1,0,0,1,0,0
2017,815465,135,3,187,3.16,132,1,0,0,1,0,0
2023,818314,35,7,0,0.0,0,0,1,0,1,0,0
2027,818481,54,2,55,0.77,151,0,1,0,1,0,0
2028,818518,55,2,44,0.59,137,0,1,0,1,0,0
2030,819228,55,1,25,0.38,123,0,1,0,1,0,0
2033,819893,50,2,32,0.53,154,0,1,0,1,0,0
2065,831911,149,10,9,0.21,0,1,0,0,0,0,1
2068,832772,165,10,22,0.3,0,1,0,0,0,0,1
2100,842494,150,7,1,0.02,0,1,0,0,0,0,1
2105,843499,75,1,4,0.06,0,0,1,0,1,0,0
2113,846434,150,5,3,0.04,4,1,0,0,1,0,0
2119,846854,560,3,86,1.23,314,1,0,0,0,0,1
2120,846871,131,2,207,2.87,55,0,1,0,0,0,1
2130,848853,65,2,15,0.21,365,0,1,0,1,0,0
2154,854521,62,2,36,0.56,307,0,1,0,1,0,0
2158,855549,88,1,76,1.16,213,0,1,0,0,0,1
2159,855919,125,1,51,1.23,122,1,0,0,1,0,0
2171,861325,295,5,15,0.21,364,1,0,0,0,0,1
2176,864790,125,4,73,1.01,2,0,1,0,0,0,1
2178,865355,90,7,34,0.5,0,0,1,0,1,0,0
2179,866890,65,3,63,0.87,365,0,1,0,1,0,0
2186,869522,65,2,2,0.05,0,0,1,0,1,0,0
2195,873721,85,4,38,0.54,364,0,1,0,0,0,1
2203,876355,108,30,5,0.08,190,1,0,0,0,1,0
2209,880642,150,1,23,0.33,365,1,0,0,1,0,0
2217,883517,339,4,27,0.38,53,1,0,0,0,0,1
2227,891117,49,1,570,7.78,308,0,1,0,1,0,0
2235,895386,170,5,74,1.04,39,1,0,0,1,0,0
2244,903947,49,1,567,7.86,355,0,1,0,1,0,0
2245,903972,49,1,583,7.97,339,0,1,0,1,0,0
2247,905314,105,30,14,0.2,114,0,1,0,0,0,1
2251,906038,170,7,27,0.38,347,1,0,0,0,0,1
2252,906058,105,2,203,2.81,271,1,0,0,0,1,0
2272,921862,190,28,26,0.42,335,1,0,0,0,0,1
2275,923566,200,7,22,0.3,364,1,0,0,0,0,1
2297,936218,55,7,13,0.19,77,0,1,0,1,0,0
2300,939657,130,30,78,1.09,108,1,0,0,1,0,0
2306,941625,99,30,23,0.33,179,0,1,0,0,0,1
2310,944183,200,3,1,0.08,0,1,0,0,1,0,0
2328,957002,100,1,119,1.75,315,1,0,0,0,0,1
2340,971158,100,2,47,0.67,352,0,1,0,1,0,0
2341,971247,190,3,148,2.08,282,1,0,0,0,0,1
2356,981494,100,1,0,0.0,0,1,0,0,0,1,0
2359,982240,125,1,1,0.94,88,0,1,0,1,0,0
2360,983625,135,31,181,2.7,240,1,0,0,1,0,0
2371,990367,170,5,23,0.33,177,1,0,0,1,0,0
2378,993040,97,1,172,2.46,6,0,1,0,1,0,0
2379,993514,191,30,7,0.1,351,1,0,0,0,0,1
2380,993575,187,30,12,0.21,275,1,0,0,0,0,1
2381,993576,172,30,4,0.09,351,1,0,0,0,0,1
2384,995215,99,30,1,0.02,128,1,0,0,0,0,1
2390,999977,285,7,2,0.03,0,1,0,0,0,0,1
2397,1003530,135,21,70,1.0,223,0,1,0,0,0,1
2399,1005763,99,10,45,0.64,83,0,1,0,1,0,0
2415,1023529,52,3,156,2.23,32,0,1,0,1,0,0
2434,1032610,130,7,5,0.19,93,1,0,0,1,0,0
2436,1034371,275,3,4,0.06,94,1,0,0,0,0,1
2440,1038326,95,6,12,0.18,87,1,0,0,1,0,0
2447,1041996,40,2,1,1.0,188,0,1,0,1,0,0
