,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Private room,room_type_Shared room
9104,6397963,95,1,3,0.07,0,0,1,0,0,0,0,1,0
9105,6398715,46,7,0,0.0,0,0,0,0,1,0,0,1,0
9106,6399305,275,1,35,0.78,0,0,0,1,0,0,1,0,0
9107,6399885,168,3,120,2.65,350,0,0,0,1,0,1,0,0
9108,6400055,45,7,3,0.07,0,0,1,0,0,0,0,1,0
9109,6400170,80,1,74,1.79,314,0,1,0,0,0,1,0,0
9110,6400255,150,16,0,0.0,0,0,0,1,0,0,1,0,0
9111,6400482,115,1,4,0.09,0,0,0,1,0,0,1,0,0
9112,6400649,65,2,6,0.14,0,0,1,0,0,0,0,1,0
9113,6401500,201,2,155,3.5,66,0,1,0,0,0,1,0,0
9114,6401592,55,7,0,0.0,0,0,1,0,0,0,0,1,0
9115,6402424,120,1,3,0.09,0,0,1,0,0,0,0,1,0
9116,6402712,50,1,1,0.02,0,0,0,0,1,0,0,1,0
9117,6402807,100,4,4,0.11,0,0,0,1,0,0,1,0,0
9118,6403485,100,14,2,0.05,0,0,0,1,0,0,1,0,0
9119,6403611,205,2,147,3.36,148,0,0,1,0,0,1,0,0
9120,6403755,68,13,8,0.19,0,0,1,0,0,0,0,1,0
9121,6403795,44,5,27,0.6,0,0,1,0,0,0,0,0,1
9122,6404264,70,1,0,0.0,0,0,0,1,0,0,0,1,0
9123,6404432,300,1,15,0.35,216,0,0,1,0,0,1,0,0
9124,6404584,79,5,3,0.07,0,0,1,0,0,0,0,1,0
9125,6405859,56,3,2,0.05,0,0,1,0,0,0,0,1,0
9126,6407534,140,5,8,0.18,0,0,0,1,0,0,1,0,0
9127,6408849,160,1,5,0.11,0,0,0,1,0,0,1,0,0
9128,6410511,119,4,84,1.86,336,0,1,0,0,0,1,0,0
9129,6410814,185,3,26,0.58,0,0,0,1,0,0,1,0,0
9130,6410924,55,3,0,0.0,0,0,1,0,0,0,0,1,0
9131,6411216,125,1,8,0.19,358,0,0,1,0,0,1,0,0
9132,6412693,58,1,135,3.74,276,0,0,1,0,0,0,1,0
9133,6412848,500,3,133,3.0,219,0,0,1,0,0,1,0,0
9134,6412888,99,28,11,0.25,365,0,0,1,0,0,0,1,0
9135,6414645,250,4,2,0.05,0,0,0,1,0,0,1,0,0
9136,6416714,85,4,4,0.09,0,0,1,0,0,0,0,1,0
9137,6420850,100,1,1,0.02,0,0,1,0,0,0,0,1,0
9138,6421011,110,1,5,0.11,0,0,1,0,0,0,1,0,0
9139,6421335,80,5,1,0.02,0,0,0,1,0,0,0,1,0
9140,6421429,115,1,5,0.18,361,1,0,0,0,0,1,0,0
9141,6421799,99,4,51,1.23,360,0,1,0,0,0,0,1,0
9142,6422511,105,1,180,3.99,322,0,0,0,1,0,1,0,0
9143,6422762,110,2,3,0.07,0,0,0,1,0,0,0,1,0
9144,6422875,70,1,371,8.32,73,0,1,0,0,0,0,1,0
9145,6423521,160,1,7,0.16,0,0,0,1,0,0,0,1,0
9146,6423589,150,30,10,0.22,0,0,1,0,0,0,0,1,0
9147,6423799,90,4,1,0.03,0,0,0,1,0,0,1,0,0
9148,6424227,150,7,0,0.0,0,0,1,0,0,0,1,0,0
9149,6424961,86,30,7,0.28,0,0,1,0,0,0,1,0,0
9150,6425712,200,1,2,0.05,0,0,0,1,0,0,1,0,0
9151,6425751,272,1,36,0.96,347,0,0,1,0,0,1,0,0
9152,6425850,86,1,5,0.15,0,0,0,1,0,0,1,0,0
9153,6426032,200,5,0,0.0,0,0,1,0,0,0,1,0,0
9154,6426292,75,1,248,5.67,8,0,0,1,0,0,0,1,0
9155,6428482,50,1,102,2.29,353,0,0,1,0,0,0,1,0
9156,6428581,95,4,1,0.03,0,0,0,1,0,0,0,1,0
9157,6428913,400,6,5,0.11,225,0,1,0,0,0,1,0,0
9158,6428942,212,1,0,0.0,0,0,0,1,0,0,1,0,0
9159,6429905,160,2,55,1.22,361,0,1,0,0,0,1,0,0
9160,6432836,90,3,1,0.02,0,0,0,1,0,0,0,1,0
9161,6433445,145,6,15,0.34,32,0,1,0,0,0,1,0,0
