,id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_Harlem,neighbourhood_Morningside Heights,neighbourhood_Upper West Side,Accuracy,Communication,Cleanliness,Location,Check-In,Value
83,199195,75,3,49,0.68,89,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
84,215907,300,2,44,0.49,39,1,0,0,0,0,1,10.0,10.0,10.0,9.0,10.0,9.0
85,218358,80,10,17,0.35,260,0,1,0,1,0,0,9.0,10.0,8.0,10.0,9.0,9.0
86,219922,100,1,31,0.38,89,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
87,220351,55,4,98,1.09,0,0,1,0,1,0,0,9.0,10.0,9.0,9.0,10.0,9.0
88,224006,300,55,6,0.09,83,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
89,234034,325,3,52,0.74,345,1,0,0,0,0,1,8.0,9.0,7.0,10.0,9.0,7.0
90,234184,311,5,84,0.94,134,1,0,0,1,0,0,10.0,10.0,9.0,9.0,10.0,10.0
91,250536,125,1,11,0.13,365,0,1,0,1,0,0,10.0,10.0,10.0,9.0,10.0,10.0
93,251277,140,1,105,1.2,363,0,1,0,0,0,1,10.0,10.0,10.0,10.0,10.0,10.0
94,253590,185,2,12,0.19,268,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
95,253623,81,2,72,0.82,0,0,1,0,1,0,0,9.0,10.0,9.0,9.0,10.0,9.0
96,258740,58,1,143,3.15,0,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
98,264323,85,4,170,1.93,307,0,1,0,0,1,0,9.0,10.0,9.0,9.0,10.0,9.0
99,266146,109,30,34,0.39,351,1,0,0,0,0,1,9.0,9.0,9.0,10.0,10.0,9.0
100,266155,167,30,15,0.17,339,1,0,0,0,0,1,9.0,10.0,9.0,10.0,10.0,9.0
102,268392,130,2,34,0.43,72,1,0,0,1,0,0,10.0,9.0,9.0,9.0,9.0,9.0
103,274062,99,2,42,0.75,89,0,1,0,1,0,0,10.0,10.0,9.0,9.0,10.0,9.0
105,276482,85,4,129,1.49,364,0,1,0,1,0,0,8.0,10.0,9.0,9.0,10.0,9.0
106,279093,200,14,2,0.07,363,1,0,0,1,0,0,10.0,10.0,8.0,10.0,10.0,10.0
107,281851,99,1,77,1.93,353,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
108,286838,75,2,101,1.17,0,0,1,0,1,0,0,9.0,10.0,9.0,9.0,10.0,9.0
110,294250,150,1,85,1.01,0,1,0,0,0,0,1,9.0,10.0,9.0,10.0,9.0,9.0
111,295998,300,3,35,0.49,117,1,0,0,0,0,1,10.0,10.0,9.0,10.0,10.0,10.0
112,301034,140,2,36,0.43,32,0,1,0,1,0,0,10.0,10.0,10.0,10.0,10.0,10.0
113,302238,350,30,6,0.07,268,1,0,0,1,0,0,10.0,9.0,9.0,8.0,10.0,9.0
114,302280,250,30,6,0.07,205,1,0,0,1,0,0,8.0,9.0,7.0,9.0,8.0,7.0
115,302309,350,30,2,0.03,325,1,0,0,1,0,0,9.0,9.0,8.0,9.0,7.0,8.0
116,303264,350,30,7,0.09,339,1,0,0,1,0,0,9.0,9.0,8.0,9.0,10.0,8.0
118,304799,150,7,10,0.12,0,1,0,0,0,0,1,9.0,10.0,9.0,10.0,9.0,10.0
119,305245,350,30,9,0.11,273,1,0,0,1,0,0,10.0,9.0,9.0,9.0,8.0,8.0
120,309342,99,3,14,0.24,364,0,1,0,0,0,1,10.0,10.0,10.0,10.0,10.0,9.0
121,310325,75,1,32,0.4,365,0,1,0,1,0,0,8.0,9.0,7.0,8.0,9.0,8.0
